text,true_label,pred_label
"HOT LIVE FANTASIES call now 08707509020 Just 20p per min NTT Ltd, PO Box 1327 Croydon CR9 5WB 0870..k",spam,ham
"I need an 8th but I'm off campus atm, could I pick up in an hour or two?",ham,ham
Any chance you might have had with me evaporated as soon as you violated my privacy by stealing my phone number from your employer's paperwork. Not cool at all. Please do not contact me again or I will report you to your supervisor.,ham,ham
Tomarrow i want to got to court. At  &lt;DECIMAL&gt; . So you come to bus stand at 9.,ham,ham
Some of them told accenture is not confirm. Is it true.,ham,ham
I got lousy sleep. I kept waking up every 2 hours to see if my cat wanted to come in. I worry about him when its cold :(,ham,ham
Shall i ask one thing if you dont mistake me.,ham,ham
K.:)do it at evening da:)urgent:),ham,ham
"SMS SERVICES. for your inclusive text credits, pls goto www.comuk.net login= 3qxj9 unsubscribe with STOP, no extra charge. help 08702840625.COMUK. 220-CM2 9AE",spam,ham
Hi..i got the money da:),ham,ham
I'm hungry buy smth home...,ham,ham
Where did u go? My phone is gonna die you have to stay in here,ham,ham
Can you plz tell me the ans. BSLVYL sent via fullonsms.com,ham,ham
Yes watching footie but worried we're going to blow it - Phil Neville?,ham,ham
How do friends help us in problems? They give the most stupid suggestion that Lands us into another problem and helps us forgt the previous problem,ham,ham
No prob. I will send to your email.,ham,ham
K..k...from tomorrow onwards started ah?,ham,ham
Then u drive lor.,ham,ham
No..but heard abt tat..,ham,ham
"sure, but make sure he knows we ain't smokin yet",ham,ham
"Aight, let me know when you're gonna be around usf",ham,ham
Are you still playing with gautham?,ham,ham
"I hav almost reached. Call, i m unable to connect u.",ham,ham
Umma. Did she say anything,ham,ham
ALRITE SAM ITS NIC JUST CHECKIN THAT THIS IS UR NUMBER-SO IS IT?T.B*,ham,ham
Oh :-)only 4 outside players allowed to play know,ham,ham
"Dear customer your PAY2TMKYC has been expired, It�s will be bl0cked within 24 hour, please contact customer! Care ph�  7679046492 immediately to verify",smishing,ham
"No dice, art class 6 thru 9 :( thanks though. Any idea what time I should come tomorrow?",ham,ham
"Text82228>> Get more ringtones, logos and games from www.txt82228.com. Questions: info@txt82228.co.uk",spam,ham
"K, jason says he's gonna be around so I'll be up there around  &lt;#&gt;",ham,ham
"Babe ! How goes that day ? What are you doing ? Where are you ? I sip my cappuccino and think of you, my love ... I send a kiss to you from across the sea",ham,ham
Even my brother is not like to speak with me. They treat me like aids patent.,ham,ham
FreeMsg: Fancy a flirt? Reply DATE now & join the UKs fastest growing mobile dating service. Msgs rcvd just 25p to optout txt stop to 83021. Reply DATE now!,spam,ham
What I'm saying is if you haven't explicitly told nora I know someone I'm probably just not gonna bother,ham,ham
I.ll hand her my phone to chat wit u,ham,ham
Er yep sure. Props?,ham,ham
Got it..mail panren paru..,ham,ham
THANX4 TODAY CER IT WAS NICE 2 CATCH UP BUT WE AVE 2 FIND MORE TIME MORE OFTEN OH WELL TAKE CARE C U SOON.C,ham,ham
"U wake up already? Wat u doing? U picking us up later rite? I'm taking sq825, reaching ard 7 smth 8 like dat. U can check e arrival time. C ya soon...",ham,ham
"Hi the way I was with u 2day, is the normal way&this is the real me. UR unique&I hope I know u 4 the rest of mylife. Hope u find wot was lost.",ham,ham
I've been searching for the right words to thank you for this breather. I promise i wont take your help for granted and will fulfil my promise. You have been wonderful and a blessing at all times.,ham,ham
This message is free. Welcome to the new & improved Sex & Dogging club! To unsubscribe from this service reply STOP. msgs@150p 18+only,spam,ham
Can help u swoop by picking u up from wherever ur other birds r meeting if u want.,ham,ham
Gud mrng dear hav a nice day,ham,ham
"Sorry I flaked last night, shit's seriously goin down with my roommate, what you up to tonight?",ham,ham
I'm in office now da:)where are you?,ham,ham
That sucks. I'll go over so u can do my hair. You'll do it free right?,ham,ham
XCLUSIVE@CLUBSAISAI 2MOROW 28/5 SOIREE SPECIALE ZOUK WITH NICHOLS FROM PARIS.FREE ROSES 2 ALL LADIES !!! info: 07946746291/07880867867,smishing,ham
"Local Covid19 Study: Compensation up to $1,220! Qualify Here:1200cash4study1.com/",smishing,ham
Great! So what attracts you to the brothas?,ham,ham
Are you the cutest girl in the world or what,ham,ham
Can you use foreign stamps for whatever you send them off for?,ham,ham
I hope you arnt pissed off but id would really like to see you tomorrow. Love me xxxxxxxxxxxxxX,ham,ham
Ok anyway no need to change with what you said,ham,ham
With my sis lor... We juz watched italian job.,ham,ham
"Mah b, I'll pick it up tomorrow",ham,ham
Hey darlin.. i can pick u up at college if u tell me wen & where 2 mt.. love Pete xx,ham,ham
Enjoy the jamster videosound gold club with your credits for 2 new videosounds+2 logos+musicnews! get more fun from jamster.co.uk! 16+only Help? call: 09701213186,spam,ham
No rushing. I'm not working. I'm in school so if we rush we go hungry.,ham,ham
R u still working now?,ham,ham
"ATM BLOCK:Dear customer, Due to our system upgrade your ATM card has just been De-Activated. To Re-Activate call customer care for help 07068796424 now.",smishing,ham
This phone has the weirdest auto correct.,ham,ham
"I wonder if your phone battery went dead ? I had to tell you, I love you babe",ham,ham
What u mean u almost done? Done wif sleeping? But i tot u going to take a nap.. Yup i send her liao so i'm picking her up at ard 4 smth lor..,ham,ham
Ok... But bag again..,ham,ham
And you! Will expect you whenever you text! Hope all goes well tomo,ham,ham
So u gonna get deus ex?,ham,ham
"Short But Cute: ""Be a good person, but dont try to prove it.."" .Good morning�",ham,ham
"Orange customer, you may now claim your FREE CAMERA PHONE upgrade for your loyalty. Call now on 0207 153 9996. Offer ends 14thMarch. T&C's apply. Opt-out availa",smishing,ham
Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)T&C's apply 08452810075over18's,spam,ham
I'm done oredi...,ham,ham
You said to me before i went back to bed that you can't sleep for anything.,ham,ham
U have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094599,smishing,ham
"SMS. ac Blind Date 4U!: Rodds1 is 21/m from Aberdeen, United Kingdom. Check Him out http://img. sms. ac/W/icmb3cktz8r7!-4 no Blind Dates send HIDE",smishing,ham
Wait . I will msg after  &lt;#&gt;  min.,ham,ham
Ffffffffff. Alright no way I can meet up with you sooner?,ham,ham
"How are you, my Love ? Are you with your brother ? Time to talk english with him ? *grins* Say : Hey Muhommad, Penny says hello from across the sea",ham,ham
That's significant but dont worry.,ham,ham
Is she replying. Has boye changed his phone number,ham,ham
How i noe... She's in da car now... Later then c lar... I'm wearing shorts...,ham,ham
Near kalainar tv office.thenampet,ham,ham
"Storming msg: Wen u lift d phne, u say ""HELLO"" Do u knw wt is d real meaning of HELLO?? . . . It's d name of a girl..! . . . Yes.. And u knw who is dat girl?? ""Margaret Hello"" She is d girlfrnd f Grahmbell who invnted telphone... . . . G o o d n i g h t . . .@",ham,ham
"SMS SERVICES. for your inclusive text credits, pls goto www.comuk.net login= ***** unsubscribe with STOP. no extra charge. help:08700469649. PO BOX420. IP4 5WE",spam,ham
Hey what happen de. Are you alright.,ham,ham
You have been specially selected to receive a 2000 pound award! Call 08712402050 BEFORE the lines close. Cost 10ppm. 16+. T&Cs apply. AG Promo,smishing,ham
Aiyo u so poor thing... Then u dun wan 2 eat? U bathe already?,ham,ham
Wat time do u wan 2 meet me later?,ham,ham
Id have to check but there's only like 1 bowls worth left,ham,ham
"Yep, the great loxahatchee xmas tree burning of  &lt;#&gt;  starts in an hour",ham,ham
SMS AUCTION - A BRAND NEW Nokia 7250 is up 4 auction today! Auction is FREE 2 join & take part! Txt NOKIA to 86021 now! HG/Suite342/2Lands Row/W1J6HL,spam,ham
I not free today i haf 2 pick my parents up tonite...,ham,ham
If you're thinking of lifting me one then no.,ham,ham
This is wishing you a great day. Moji told me about your offer and as always i was speechless. You offer so easily to go to great lengths on my behalf and its stunning. My exam is next friday. After that i will keep in touch more. Sorry.,ham,ham
"Oh... I was thkin of goin yogasana at 10 den no nd to go at 3 den can rush to parco 4 nb... Okie lor, u call me when ready...",ham,ham
"Machan you go to gym tomorrow,  i wil come late goodnight.",ham,ham
Hey i've booked the 2 lessons on sun liao...,ham,ham
"Aight, lemme know what's up",ham,ham
"Oh... Icic... K lor, den meet other day...",ham,ham
"January Male Sale! Hot Gay chat now cheaper, call 08709222922. National rate from 1.5p/min cheap to 7.8p/min peak! To stop texts call 08712460324 (10p/min)",spam,ham
I don't run away frm u... I walk slowly &amp; it kills me that u don't care enough to stop me...,ham,ham
Did you see that film:),ham,ham
subscribe to weekly ringtone-get 1st week free-send SUBPOLY to 81618-?3 per week-stop sms-08718727870,spam,ham
"What's up bruv, hope you had a great break. Do have a rewarding semester.",ham,ham
Excellent! Wish we were together right now!,ham,ham
"Just dropped em off, omw back now",ham,ham
Sorry about that this is my mates phone and i didnt write it love Kate,ham,ham
That's a shame! Maybe cld meet for few hrs tomo?,ham,ham
"Dear Sir,Salam Alaikkum.Pride and Pleasure meeting you today at the Tea Shop.We are pleased to send you our contact number at Qatar.Rakhesh an Indian.Pls save our Number.Respectful Regards.",ham,ham
When ü login dat time... Dad fetching ü home now?,ham,ham
Friendship poem: Dear O Dear U R Not Near But I Can Hear Dont Get Fear Live With Cheer No More Tear U R Always my Dear. Gud ni8,ham,ham
I'm working technical support :)voice process.,ham,ham
Oh god i am happy to see your message after 3 days,ham,ham
Yeah so basically any time next week you can get away from your mom &amp; get up before 3,ham,ham
4mths half price Orange line rental & latest camera phones 4 FREE. Had your phone 11mths ? Call MobilesDirect free on 08000938767 to update now! or2stoptxt,spam,ham
"Very strange.  and  are watching the 2nd one now but i'm in bed. Sweet dreams, miss u",ham,ham
Lol they were mad at first but then they woke up and gave in.,ham,ham
"Jay told me already, will do",ham,ham
No. On the way home. So if not for the long dry spell the season would have been over,ham,ham
Sorry da thangam.it's my mistake.,ham,ham
What time you coming down later?,ham,ham
I'm home.,ham,ham
Ok. I.ll do you right later.,ham,ham
"Aldrine, rakhesh ex RTM here.pls call.urgent.",ham,ham
There's someone here that has a year  &lt;#&gt;  toyota camry like mr olayiwola's own. Mileage is  &lt;#&gt; k.its clean but i need to know how much will it sell for. If i can raise the dough for it how soon after landing will it sell. Holla back.,ham,ham
Have you heard about that job? I'm going to that wildlife talk again tonight if u want2come. Its that2worzels and a wizzle or whatever it is?!,ham,ham
Have your lunch and come quickly and open the door:),ham,ham
Today is ACCEPT DAY..U Accept me as?,ham,ham
I have to take exam with march 3,ham,ham
Yup song bro. No creative. Neva test quality. He said check review online.,ham,ham
They will pick up and drop in car.so no problem..,ham,ham
Y ü wan to go there? C doctor?,ham,ham
Left dessert. U wan me 2 go suntec look 4 u?,ham,ham
Oh is it? Send me the address,ham,ham
WHAT TIME U WRKIN?,ham,ham
Hi ....My engagement has been fixd on  &lt;#&gt; th of next month. I know its really shocking bt....hmm njan vilikkam....t ws al of a sudn;-(.,ham,ham
Ya had just now.onion roast.,ham,ham
Yes..he is really great..bhaji told kallis best cricketer after sachin in world:).very tough to get out.,ham,ham
reat Deals at The MobileStore. Get Rs 100 Off on mobile purchases above Rs 5000. Rush offer valid till 21st Feb. Show MCoupon RPD897348602131 . T & C,spam,ham
cThen i thk shd b enuff.. Still got conclusion n contents pg n references.. I'll b doing da contents pg n cover pg..,ham,ham
Eh u remember how 2 spell his name... Yes i did. He have been naughty until I have met him.,ham,ham
Welcome! Please reply with your AGE and GENDER to begin. e.g 24M,spam,ham
"Sorry sir, i will call you tomorrow.  senthil.hsbc",ham,ham
This is all just creepy and crazy to me.,ham,ham
Hi :)finally i completed the course:),ham,ham
"Sorry, not now",ham,ham
"URGENT!! Your 4* Costa Del Sol Holiday or £5000 await collection. Call 09050090044 Now toClaim. SAE, TC s, POBox334, Stockport, SK38xh, Cost£1.50/pm, Max10mins",smishing,ham
Hey ! Don't forget ... You are MINE ... For ME ... My possession ... MY property ... MMM ... *childish smile* ...,ham,ham
Oh k.k..where did you take test?,ham,ham
"No, its true..k,Do u knw dis no. &lt;#&gt; ?",ham,ham
I'm really sorry i won't b able 2 do this friday.hope u can find an alternative.hope yr term's going ok:-),ham,ham
Bognor it is! Should be splendid at this time of year.,ham,ham
You have won a Nokia 7250i. This is what you get when you win our FREE auction. To take part send Nokia to 86021 now. HG/Suite342/2Lands Row/W1JHL 16+,smishing,ham
After completed degree. There is no use in joining finance.,ham,ham
Yeah you should. I think you can use your gt atm now to register. Not sure but if there's anyway i can help let me know. But when you do be sure you are ready.,ham,ham
Yeah I don't see why not,ham,ham
Your opinion about me? 1. Oversmart 2. selfish 3. naughy 4. Lovable 5. Silent 6. Special 7. immature 8. Stylish 9. Simple Pls reply..,ham,ham
Am not working but am up to eyes in philosophy so will text u later when a bit more free for chat...,ham,ham
Can a not?,ham,ham
"Sorry, I'll call later ok bye",ham,ham
Good. Good job. I like entrepreneurs,ham,ham
I know you are serving. I mean what are you doing now.,ham,ham
Sorry me going home first... Daddy come fetch ü later...,ham,ham
No no. I will check all rooms befor activities�that�s required�,ham,ham
"Sorry, my battery died, I can come by but I'm only getting a gram for now, where's your place?",ham,ham
"Sorry, I don�t knw",ham,ham
Wat time ü wan today?,ham,ham
Send his number and give reply tomorrow morning for why you said that to him like that ok,ham,ham
Loa!! Homeowners + Tenants welcome. Have you been previously refused? We can still help. Call Free 0800 1956669 or text back 'help',smishing,ham
I finished my lunch already. U wake up already?,ham,ham
Wanna get laid 2nite? Want real Dogging locations sent direct to ur mobile? Join the UK's largest Dogging Network. Txt PARK to 69696 now! Nyt. ec2a. 3lp £1.50/msg,spam,ham
Dhoni have luck to win some big title.so we will win:),ham,ham
Ok both our days. So what are you making for dinner tonite? Am I invited?,ham,ham
"I feel like a dick because I keep sleeping through your texts and facebook messages. Sup, you in town?",ham,ham
"My mobile number.pls sms ur mail id.convey regards to achan,amma.Rakhesh.Qatar",ham,ham
Full heat pa:-) i have applyed oil pa.,ham,ham
"YOU VE WON! Your 4* Costa Del Sol Holiday or £5000 await collection. Call 09050090044 Now toClaim. SAE, TC s, POBox334, Stockport, SK38xh, Cost£1.50/pm, Max10mins",smishing,ham
Sounds like you have many talents! would you like to go on a dinner date next week?,ham,ham
His bday real is in april .,ham,ham
"Hello, my love! How goes that day ? I wish your well and fine babe and hope that you find some job prospects. I miss you, boytoy ... *a teasing kiss*",ham,ham
"Me not waking up until 4 in the afternoon, sup",ham,ham
Fantasy Football is back on your TV. Go to Sky Gamestar on Sky Active and play £250k Dream Team. register now!SKY OPT OUT to 88088,spam,ham
Except theres a chick with huge boobs.,ham,ham
you'hv completed a transaction for AUD 788.93 on 06/02/17 03-27-31 pm. Please follow the link if it is not done by you http://commbank.netban,smishing,ham
You should change your fb to jaykwon thuglyfe falconerf,ham,ham
ok....take care.umma to you too...,ham,ham
Ujhhhhhhh computer shipped out with address to sandiago and parantella lane. Wtf. Poop.,ham,ham
Rediscover the deeper meaning of life and the means to attain true peace. Understand the essence of being a true Sikh. Sms JOIN GURUBANI to 09219592195,spam,ham
There is no sense in my foot and penis.,ham,ham
Hmm...Bad news...Hype park plaza $700 studio taken...Only left 2 bedrm-$900...,ham,ham
"As a valued customer, I am pleased to advise you that following recent review of your Mob No. you are awarded with a £1500 Bonus Prize, call 09066364589",smishing,ham
Hi! You just spoke to MANEESHA V. if you were satisfied with the experience. Reply with Yes else No.,ham,ham
"K, text me when you're on the way",ham,ham
(You didn't hear it from me),ham,ham
What is important is that you prevent dehydration by giving her enough fluids,ham,ham
Double Mins & Double Txt & 1/2 price Call MobileUpd8 for the very latest offers. 08000839402 or call2optout/LF56,spam,ham
"Christmas is An occasion that is Celebrated as a Reflection of UR... Values..., Desires..., Affections...&amp; Traditions.... Have an ideal Christmas...",ham,ham
Play w computer? Aiyah i tok 2 u lor?,ham,ham
Well at this right I'm gonna have to get up and check today's steam sales/pee so text me when you want me to come get you,ham,ham
I think i've fixed it can you send a test message?,ham,ham
"A famous quote : when you develop the ability to listen to 'anything' unconditionally without losing your temper or self confidence, it means you are ......... 'MARRIED'",ham,ham
All sounds good. Fingers . Makes it difficult to type,ham,ham
Please complete registration process before using any service. Code=943 Tid=020001951238,spam,ham
Hui xin is in da lib.,ham,ham
Do you want a NEW video phone750 anytime any network mins 150 text for only five pounds per week call 08000776320 now or reply for delivery tomorrow,smishing,ham
Reminder: You have not downloaded the content you have already paid for. Goto http://doit. mymoby. tv/ to collect your content.,smishing,ham
I don't quite know what to do. I still can't get hold of anyone. I cud pick you up bout 7.30pm and we can see if they're in the pub?,ham,ham
"Good morning, im suffering from fever and dysentry ..will not be able to come to office today.",ham,ham
hi baby im cruisin with my girl friend what r u up 2? give me a call in and hour at home if thats alright or fone me on this fone now love jenny xxx,ham,ham
All well..,ham,ham
Ok i will message u before i leave my house.,ham,ham
No1 Nokia tone 4 ur mob every week just txt NOKIA to 8007 Get txting and tell ur mates www.getzed.co.uk POBox 36504 W45WQ norm150p/tone 16+,spam,ham
"Hmmm ... I thought we said 2 hours slave, not 3 ... You are late ... How should I punish you ?",ham,ham
I'm going out to buy mum's present ar.,ham,ham
I cant pick the phone right now. I will call u later,ham,ham
Dude we should go sup again,ham,ham
Dear i am not denying your words please,ham,ham
But really quite funny lor wat... Then u shd haf run shorter distance wat...,ham,ham
How much did ur hdd casing cost.,ham,ham
Send this to ur friends and receive something about ur voice..... How is my speaking expression? 1.childish 2.naughty 3.Sentiment 4.rowdy 5.ful of attitude 6.romantic 7.shy 8.Attractive 9.funny  &lt;#&gt; .irritating  &lt;#&gt; .lovable. reply me..,ham,ham
"2 celebrate my bday, y else?",ham,ham
If you r at home then I am coming within 20 mins,ham,ham
Ok i've sent u da latest version of da project.,ham,ham
Hahaha..use your brain dear�.thats important,ham,ham
K sure am in my relatives home. Sms me de. Pls:-),ham,ham
"Best line said in Love: . ""I will wait till the day I can forget u Or The day u realize that u cannot forget me.""... Gn",ham,ham
No current and food here. I am alone also,ham,ham
Tell them the drug dealer's getting impatient,ham,ham
I will come tomorrow di,ham,ham
I'm aight. Wat's happening on your side.,ham,ham
Its ok my arm is feeling weak cuz i got a shot so we can go another time,ham,ham
"Hey, iouri gave me your number, I'm wylie, ryan's friend",ham,ham
have you ever had one foot before?,ham,ham
Leave it de:-). Start Prepare for next:-)..,ham,ham
Dear PAYTM customer your Paytm KYC has expired. Contact customer care No-6299257179 immediately. your account will Block within 24 hr. Thank you PAYTM TEAM.,smishing,ham
I am late. I will be there by 3,ham,ham
Hmm. Shall i bring a bottle of wine to keep us amused? Just joking! I'll still bring a bottle. Red or white? See you tomorrow,ham,ham
Your right! I'll make the appointment right now.,ham,ham
Todays Voda numbers ending 5226 are selected to receive a ?350 award. If you hava a match please call 08712300220 quoting claim code 1131 standard rates app,smishing,ham
"URGENT! You have won a 1 week FREE membership in our £100,000 Prize Jackpot! Txt the word: CLAIM to No: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18",smishing,ham
Yes. It's all innocent fun. O:-),ham,ham
"Hello darling how are you today? I would love to have a chat, why dont you tell me what you look like and what you are in to sexy?",spam,ham
I am joining today formally.Pls keep praying.will talk later.,ham,ham
Think I could stop by in like an hour or so? My roommate's looking to stock up for a trip,ham,ham
Call me when u finish then i come n pick u.,ham,ham
"Me, i dont know again oh",ham,ham
Did u find out what time the bus is at coz i need to sort some stuff out.,ham,ham
"It‘s reassuring, in this crazy world.",ham,ham
"A boy was late 2 home. His father: ""POWER OF FRNDSHIP""",ham,ham
URGENT This is our 2nd attempt to contact U. Your £900 prize from YESTERDAY is still awaiting collection. To claim CALL NOW 09061702894,smishing,ham
URGENT We are trying to contact you Last weekends draw shows u have won a £1000 prize GUARANTEED Call 09064017295 Claim code K52 Valid 12hrs 150p pm,smishing,ham
Then get some cash together and I'll text jason,ham,ham
"It‘s £6 to get in, is that ok?",ham,ham
BMO have noticed unusual activites on your online account. You are required to verify your account details.www.97bmo.tk,smishing,ham
Ok then i'll let him noe later n ask him call u tmr...,ham,ham
Good Morning plz call me sir,ham,ham
"You have won ?2,000 cash or a ?5,000 prize! To claim, call09050000337",smishing,ham
No no:)this is kallis home ground.amla home town is durban:),ham,ham
Aiyo cos i sms ü then ü neva reply so i wait 4 ü to reply lar. I tot ü havent finish ur lab wat.,ham,ham
"Dont search love, let love find U. Thats why its called falling in love�.",ham,ham
That's one of the issues but california is okay. No snow so its manageable,ham,ham
"Nothing much, chillin at home. Any super bowl plan?",ham,ham
Free video camera phones with Half Price line rental for 12 mths and 500 cross ntwk mins 100 txts. Call MobileUpd8 08001950382,spam,ham
Hey happy birthday...,ham,ham
"Please call our customer service representative on 8536074310 between 10am-9pm as you have W0N a guaranteed cash prize of Rs.10,00,000. FL1PKART TEAM",smishing,ham
Can U get 2 phone NOW? I wanna chat 2 set up meet Call me NOW on 09096102316 U can cum here 2moro Luv JANE xx Calls£1/minmoremobsEMSPOBox45PO139WA,spam,ham
"Sounds gd... Haha... Can... Wah, u yan jiu so fast liao...",ham,ham
I am on the way to office,ham,ham
I am taking half day leave bec i am not well,ham,ham
"Wait, do you know if wesleys in town? I bet she does hella drugs!",ham,ham
"Yeah probably, I still gotta check out with leo",ham,ham
Get the official ENGLAND poly ringtone or colour flag on yer mobile for tonights game! Text TONE or FLAG to 84199.,spam,ham
U horrible gal... U knew dat i was going out wif him yest n u still come n ask me...,ham,ham
G wants to know where  you are,ham,ham
"Someone has contacted our dating service and entered your phone becausethey fancy you! To find out who it is call from a landline 09058098002. PoBox1, W14RG 150p",smishing,ham
What i mean is do they come chase you out when its over or is it stated you can watch as many movies as you want.,ham,ham
R u sure they'll understand that! Wine * good idea just had a slurp!,ham,ham
"Honey, can you pls find out how much they sell Predicte in Nigeria. And how many times can it be used. Its very important to have a reply before monday",ham,ham
Convey my regards to him�all the best..,ham,ham
Yup he msg me: is tat yijue? Then i tot it's my group mate cos we meeting today mah... I'm askin if ü leaving earlier or wat mah cos mayb ü haf to walk v far...,ham,ham
"Turns out my friends are staying for the whole show and won't be back til some time , so feel free to go ahead and smoke that worth  worth",ham,ham
"When people see my msgs, They think Iam addicted to msging... They are wrong, Bcoz They dont know that Iam addicted to my sweet Friends..!!",ham,ham
Nt yet chikku..simple habba..hw abt u?,ham,ham
That was random saw my old roomate on campus. He graduated,ham,ham
"Good evening Sir, hope you are having a nice day. I wanted to bring it to your notice that I have been late in paying rent for the past few months and have had to pay a $ &lt;#&gt;  charge. I felt it would be inconsiderate of me to nag about something you give at great cost to yourself and that's why i didnt speak up. I however am in a recession and wont be able to pay the charge this month hence my askin well ahead of month's end. Can you please help. Thank you for everything.",ham,ham
Nothing just getting msgs by dis name wit different no's..,ham,ham
So the sun is anti sleep medicine.,ham,ham
Hurry home. Soup is DONE!,ham,ham
"Life is more strict than teacher... Bcoz Teacher teaches lesson &amp; then conducts exam, But Life first conducts Exam &amp; then teaches Lessons. Happy morning. . .",ham,ham
Free any day but i finish at 6 on mon n thurs...,ham,ham
OK i'm waliking ard now... Do u wan me 2 buy anything go ur house?,ham,ham
Hi:)cts employee how are you?,ham,ham
Yes.i'm in office da:),ham,ham
Please Stay At Home. To encourage the notion of staying at home. All tax-paying citizens are entitled to �305.96 or more emergency refund. smsg.io/fCVbD,smishing,ham
Just hopeing that wasn‘t too pissed up to remember and has gone off to his sisters or something!,ham,ham
How. Its a little difficult but its a simple way to enter this place,ham,ham
Can't. I feel nauseous. I'm so pissed. I didn't eat any sweets all week cause today I was planning to pig out. I was dieting all week. And now I'm not hungry :/,ham,ham
You are a winner you have been specially selected to receive £1000 cash or a £2000 award. Speak to a live operator to claim call 087123002209am-7pm. Cost 10p,smishing,ham
HOW ARE U? I HAVE MISSED U! I HAVENT BEEN UP 2 MUCH A BIT BORED WITH THE HOLIDAY WANT 2 GO BAK 2 COLLEGE! SAD ISNT IT?xx,ham,ham
As one of our registered subscribers u can enter the draw 4 a 100 G.B. gift voucher by replying with ENTER. To unsubscribe text STOP,spam,ham
Sorry. You never hear unless you book it. One was kinda a joke--thet were really looking for skinny white girls. The other was one line--you can only do so much on camera with that. Something like that they're casting on the look.,ham,ham
I think you should go the honesty road. Call the bank tomorrow. Its the tough decisions that make us great people.,ham,ham
No probs hon! How u doinat the mo?,ham,ham
"Frnd s not juz a word.....not merely a relationship.....its a silent promise which says ... "" I will be with YOU "" Wherevr.. Whenevr.. Forevr... Gudnyt dear..",ham,ham
At home watching tv lor.,ham,ham
"It could work, we'll reach a consensus at the next meeting",ham,ham
No plm i will come da. On the way.,ham,ham
Well done and ! luv ya all,ham,ham
URGENT! This is the 2nd attempt to contact U!U have WON £1000CALL 09071512432 b4 300603t&csBCM4235WC1N3XX.callcost150ppmmobilesvary. max£7. 50,smishing,ham
Which is weird because I know I had it at one point,ham,ham
"Good afternoon, my love. How goes your day ? What are you up to ? I woke early and am online waiting for you ... Hmmm ... Italian boy is online I see . *grins*",ham,ham
Aiyah ok wat as long as got improve can already wat...,ham,ham
You have won a guaranteed £200 award or even £1000 cashto claim UR award call free on 08000407165 (18+) 2 stop getstop on 88222 PHP. RG21 4JX,smishing,ham
Cos i want it to be your thing,ham,ham
She.s fine. I have had difficulties with her phone. It works with mine. Can you pls send her another friend request.,ham,ham
Thinkin about someone is all good. No drugs for that,ham,ham
"My Parents, My Kidz, My Friends n My Colleagues. All screaming.. SURPRISE !!",ham,ham
WOT U WANNA DO THEN MISSY?,ham,ham
"Had your mobile 10 mths? Update to the latest Camera/Video phones for FREE. KEEP UR SAME NUMBER, Get extra free mins/texts. Text YES for a call",spam,ham
Tell rob to mack his gf in the theater,ham,ham
"Watching cartoon, listening music &amp; at eve had to go temple &amp; church.. What about u?",ham,ham
DO NOT B LATE LOVE MUM,ham,ham
O i played smash bros  &lt;#&gt;  religiously.,ham,ham
Englishvocabulary ululate: to mourn loudly and shrilly AD: Unlimited FREE calls to any mobile try out today http://bit.ly/unlmtdfreecall share wid frnd,smishing,ham
Yar... I tot u knew dis would happen long ago already.,ham,ham
Where you. What happen,ham,ham
I couldn't say no as he is a dying man and I feel sad for him so I will go and I just wanted you to know I would probably be gone late into your night,ham,ham
"Hi babe its Jordan, how r u? Im home from abroad and lonely, text me back if u wanna chat xxSP visionsms.com Text stop to stopCost 150p 08712400603",spam,ham
Dai what this da.. Can i send my resume to this id.,ham,ham
I know but you need to get hotel now. I just got my invitation but i had to apologise. Cali is to sweet for me to come to some english bloke's weddin,ham,ham
"Dear Voucher Holder, To claim this weeks offer, at you PC please go to http://www.e-tlp.co.uk/reward. Ts&Cs apply.",smishing,ham
You in your room? I need a few,ham,ham
Love you sushma..love u lot..,ham,ham
He's in lag. That's just the sad part but we keep in touch thanks to skype,ham,ham
That seems unnecessarily hostile,ham,ham
I'm ok. Will do my part tomorrow,ham,ham
So your telling me I coulda been your real Valentine and I wasn't? U never pick me for NOTHING!!,ham,ham
Do you know when dad will be back?,ham,ham
Okie... Thanx...,ham,ham
Where are you ? You said you would be here when I woke ... :-(,ham,ham
I don't think he has spatula hands!,ham,ham
No it will reach by 9 only. She telling she will be there. I dont know,ham,ham
Ummma.will call after check in.our life will begin from qatar so pls pray very hard.,ham,ham
So what do you guys do.,ham,ham
Then she buying today? Ü no need to c meh...,ham,ham
Gud mrng dear hav a nice day�.do well..stay blessed,ham,ham
"URGENT! You have won a 1 week FREE membership in our £100,000 Prize Jackpot! Txt the word: CLAIM to No: 81010 T&C www.dbuk.net",smishing,ham
Cool. Do you like swimming? I have a pool and jacuzzi at my house.,ham,ham
Want a new Video Phone? 750 anytime any network mins? Half price line rental free text for 3 months? Reply or call 08000930705 for free delivery,spam,ham
U still havent got urself a jacket ah?,ham,ham
Is xy going 4 e lunch?,ham,ham
Sorry dude. Dont know how i forgot. Even after Dan reminded me. Sorry. Hope you guys had fun.,ham,ham
I thk 50 shd be ok he said plus minus 10.. Did ü leave a line in between paragraphs?,ham,ham
In fact when do you leave? I think addie goes back to school tues or wed,ham,ham
It certainly puts things into perspective when something like this happens,ham,ham
